"Input Type (Text, audio, text+audio)",Expected Text,Expected Text Audio,"Level (N1,N2,N3)",¿Expected answer? (Yes/No),Date,Text Input,Transcribed Audio Text,ASR time,WER,RAG Answer,Procedure,RAG Status,RAG Error Menssage,¿Answer Correct?(Yes/No),RAG Time,RAG Avg Score,RAG Pages,TTS Time,Total time
Text,Preflight Procedure,nan,N1,Yes,12/10/2025,Preflight Procedure,,,,"**Procedure:**

PREFLIGHT PROCEDURE

**Conditions:**

Aircraft is on ground and secured before flight.

**Steps:**

1. The aircraft documents are checked.

2. The circuit breakers are confirmed in normal position.

3. The battery switches are set to ON.

4. The external power is connected if available.

5. The ADIRS selectors are set to NAV.

6. The oxygen pressure is checked.

**Notes:**

Ensure all required equipment is onboard and serviceable.",PREFLIGHT PROCEDURE,success,,,4.154,0.8667,"[1.0, 3.0, 2.0]",2.836,6.991
Text,Cockpit Preparation,nan,N1,Yes,12/10/2025,Cockpit Preparation,,,,"**Procedure:**

COCKPIT PREPARATION

**Conditions:**

Before engine start.

**Steps:**

1. The overhead panel is checked.

2. The fuel quantity is checked.

3. The flight plan is entered into the MCDU.

4. The flight instruments are checked and set.

5. The takeoff performance data is inserted.

6. The briefing is completed.

**Notes:**

All systems must be set according to the flight crew operating manual.",COCKPIT PREPARATION,success,,,1.798,1.0,"[1.0, 4.0, 10.0]",1.763,3.562
Text,Engine Start,nan,N1,Yes,12/10/2025,Engine Start,,,,"**Procedure:**

ENGINE START

**Conditions:**

Aircraft ready for engine start.

**Steps:**

1. The beacon light is set to ON.

2. The parking brake is set.

3. The engine mode selector is set to IGN/START.

4. The engine master switch is set to ON for the engine to be started.

5. Engine parameters are monitored until stabilized.

**Notes:**

Ground crew is informed before start.",ENGINE START,success,,,1.596,1.1067,"[2.0, 6.0, 6.0]",1.789,3.385
Text,Before Taxi,nan,N1,Yes,12/10/2025,Before Taxi,,,,"**Procedure:**

BEFORE TAXI

**Conditions:**

Engines stabilized and ready to taxi.

**Steps:**

1. The ground equipment is cleared.

2. The flaps are set for takeoff.

3. The flight controls are checked.

4. The flight instruments are cross-checked.

5. The taxi clearance is obtained.

**Notes:**

_No data available_",BEFORE TAXI,success,,,1.291,1.06,"[2.0, 2.0, 6.0]",1.757,3.048
Text,Taxi,nan,N1,Yes,12/10/2025,Taxi,,,,"**Procedure:**

TAXI

**Conditions:**

Taxi clearance received.

**Steps:**

1. The taxi lights are set ON.

2. The brakes are checked.

3. The nose wheel steering is confirmed operative.

4. The taxi route is followed as cleared.

**Notes:**

Taxi speed is limited according to airport procedures.",TAXI,success,,,1.379,1.08,"[2.0, 2.0, 6.0]",1.517,2.896
Text,Before Takeoff,nan,N1,Yes,12/10/2025,Before Takeoff,,,,"**Procedure:**

BEFORE TAKEOFF

**Conditions:**

Lined up or ready for takeoff clearance.

**Steps:**

1. The cabin is secured.

2. The takeoff runway is confirmed.

3. The TCAS is set to TA/RA.

4. The packs are set according to requirement.

5. The flight attendants are advised.

**Notes:**

Final takeoff checklist is completed.",BEFORE TAKEOFF,success,,,1.634,0.9633,"[3.0, 3.0, 9.0]",2.046,3.679
Text,Takeoff,nan,N1,Yes,12/10/2025,Takeoff,,,,"**Procedure:**

REJECTED TAKEOFF

**Conditions:**

Critical event detected before V1.

**Steps:**

1. The thrust levers are set to IDLE.

2. The reversers are deployed to maximum.

3. Braking is applied to maximum.

4. Air Traffic Control is informed.

5. If required, an evacuation is initiated.

**Notes:**

_No data available_",REJECTED TAKEOFF,success,,,1.426,1.06,"[9.0, 3.0, 3.0]",1.316,2.742
Text,After Takeoff and Climb,nan,N1,Yes,12/10/2025,After Takeoff and Climb,,,,"**Procedure:**

AFTER TAKEOFF AND CLIMB

**Conditions:**

After initial climb out.

**Steps:**

1. The landing gear is retracted.

2. The flaps and slats are retracted on schedule.

3. The climb thrust is set.

4. The autopilot is engaged if desired.

5. The after takeoff checklist is completed.

**Notes:**

Transition altitude is observed for setting standard pressure.",AFTER TAKEOFF AND CLIMB,success,,,1.521,0.8667,"[3.0, 3.0, 8.0]",1.37,2.891
Text,Cruise,nan,N1,Yes,12/10/2025,Cruise,,,,"**Procedure:**

CRUISE

**Conditions:**

Aircraft established at cruise altitude.

**Steps:**

1. The cruise power is set.

2. The fuel monitoring is performed.

3. The systems are checked regularly.

4. The position reports are made as required.

**Notes:**

Maintain situational awareness at all times.",CRUISE,success,,,1.373,1.63,"[4.0, 1.0, 11.0]",1.306,2.679
Text,Descent Preparation,nan,N1,Yes,12/10/2025,Descent Preparation,,,,"**Procedure:**

DESCENT PREPARATION

**Conditions:**

Aircraft approaching top of descent.

**Steps:**

1. The descent clearance is obtained.

2. The STAR and approach are reviewed and inserted.

3. The landing performance is calculated.

4. The briefing is completed.

5. The seat belt signs are set ON.

**Notes:**

Weather and ATIS information is obtained in advance.",DESCENT PREPARATION,success,,,1.535,1.0567,"[4.0, 11.0, 5.0]",1.038,2.573
